summary,intent
"엑사이엔씨는 어떤가요? 오를 줄 알았는데 횡보, 하락하네요.",종목분석
계좌에 현금이 없는데 매수 가능한가요? 실수로 주식을 가지고 있던 현금보다 더 매수하게 되었어요.,거래
시간 외에 당했는데 gh신소재 월요일에 오를까요? ,종목전망
에이아이비트 다음주 전망 어때요?,종목전망
에스에이엠피도 괜찮아 보이네요.,종목분석
티웨이홀딩스 상담 좀 해줘,종목분석
태림포장 전문가 의견 알려줘,종목분석
남방정책 수혜주가 뭐가있는지 알려줘.,종목소개
기초 주식 용어 알려줘,금융용어
옵티팩 암울하네요.,멘탈
옵티팩 반등이 있을까요.,종목전망
에이텍 풀매도를 해야할지 반등할때까지 기다려야할지 부분 손절 해야할지 의견 부탁해.,매매전략
아이텍 파인텍 계속 보유해야할지 어떻게 할까요,매매전략
티웨이홀딩스 분석해줘,종목전망
삼부토건 앞으로 가지고 가도 되는지 오늘 팔아야 하는지 알려줘.,매매타이밍
모비스 오를듯 말듯 한데 수익보고 나올수 있을까?,종목전망
M&A 기업 인수합병시 주식이 일반적으로 어떻게 요동치는지 궁금해.,재료
대성파인테 어떻게 봐? 그냥 시원하게 손절해야할까?,매매전략
해마로푸드서비스 어떤가요?,종목분석
푸른기술 아직 상승할 여지가 있나요?,종목분석
나노브릭 업종도 좋고 사채없고 공매도 없고 지금 20%정도 올랐어도 굉장히 가격이 낮게 느껴지는데 어떤가요?,종목분석
에스엔텍 주가가 너무 폭락하네,멘탈
사조오양 어때요?,종목분석
삼본전자 의견 듣고 싶습니다.,종목분석
신성통상 오후 되니 더 빠지네 손절이 낫나요?,매매전략
에스에프씨 휴지조각 되는 건가요?,멘탈
주식 반토막이라도 건져야할까?,멘탈
주식 반토막이라 죽을 맛인데 반토막이라도 건져야할까?,멘탈
티슈진 상폐 유력 뉴스 나오고 답답하네.,멘탈
나노메딕스 조정기간인건지 작전세력주인지 어떻게 생각해?,종목분석
3자배정이란 좋은 건지 나쁜 건지 알고싶어요.,금융용어
나노메딕스 이 종목 어떻게 생각해?,종목분석
마니커 얼마까지 보니?,종목전망
현대엘리베이 어떤가요? 내일 시작가 보고 탈출하는 게 맞는지,종목전망
한국콜마 어떻게 생각하세요? 가지고 있어야할지 팔아야할지 정말 감을 못찾겠네,매매전략
바이오솔루션 바닥을 치고 반등인가요?,종목전망
피에스케이홀딩스 주가분석 부탁드립니다.,종목분석
바이오주 계속 가지고 있어야할까요?,매매전략
5G섹터중 가장 유명한 종목은 뭐라고 생각 하시나요?,종목추천
화평법 관련주들 홀딩해야하나 손절해야하나 고민이야,매매전략
세경하이테크 실적은 좋은데 왜 이렇게 많이 떨어질까요?,등락원인
엑사이엔씨 매수시기는 언제 쯤 가능한가요?,매매타이밍
엠에스오토텍 투자 괜찮은가요?,종목분석
안트로젠 평단 87000원인데 이 금액은 자리 찾을까요? 물 타서 5만원이라도 만들까요?,매매전략
베셀 내일은 좀 오를라나?,종목전망
신화인터덱 실적이 잘나욌는데 왜 떨어지나요?,등락원인
상상인이종목 좀 잘 아니?,종목분석
화이브라더스코리아이월드는 상한가 갈 듯 보이는데 화이브라더스코리아는 왜 안움직일까요?,등락원인
크루셀텍 무슨 회사야?,종목분석
미스터블루 오늘 못 빠져나오면 털리게 생겼지?,종목전망
Sfa 반도체 버려야하나 2945에 들어갔는데 700원대네.,매매전략
코오롱생명과학 어찌 해야해?,매매전략
넷게임주 고가에 물려있는데 어찌 할까요?,매매전략
코오롱생명과학 어찌 해야될까요?,매매전략
와이지엔터테인먼트 33000원대 매수 했는데 손절해야 되나요?,매매전략
손오공 신주인수권 매도 하는 게 나을까요? 아님 매수 하는 게 나을까요?,유무신전
국내 상장한 중국주식 어떻게 보시나요?,종목분석
디피씨 지금 들어가도 될까요?,매매결정
비상장주식 큐브바이오 상장 가능성있어?,종목정보
에스엔텍 홀딩 중이었는데 던져야 될까요?,매매전략
드림시큐리티 주말 전에 오늘 정리하는게 나은지 다음주까지 홀딩해야할지 고민 중이야.,매매전략
뉴프렉스 지금 사기에 좋냐?,매매결정
유니트론텍 종목 상담 부탁해.,종목분석
내일 코원테크는 어떨까? ,종목전망
내일 한국콜마 어떻게 보니?,종목전망
셀트리온 -25%인데 어떻게 해야 할까?,매매전략
한화캐미칼 하한선 어디까지 보니?,차트질문
에어부산 -30퍼인데 손절해야할지 말아야할지 모르겠네.,매매전략
신라젠 매입해도 될까요?,매매결정
대양금속 주가 차트 어떻게 보니?,차트질문
포인트엔지니어링 계속 버텨야하는지 존버해야 할까요 손절할까요?,매매전략
유바이오로직스 지지선 체크 부탁드립니다,차트질문
국일제지 어떻게 보니?,종목분석
아시아나 계속 가져가도 되나요?,매매전략
갑자기 필룩스 급상승하네요 원인이 뭐죠?,등락원인
하한가가면 원래 매도가 좀 늦게 되나요?,거래
신라젠 하한가 아무것도 하지 않는게 나을까 몇 주라도 사서 평단을 낮추는게 나을까?,매매전략
대북주 외국인 매수 이유가 뭔가요?,매매이유
kg이니시스 동부제철 내용을 좀 아니?,종목분석
샘코 무슨 일 있나?,종목정보
이트론 상승장 분위기 좋은데 더 상승할 여력이 있을까요?,종목정보
하이트홀딩 일반주 많이 떨어졌는데 어때?,종목분석
하이트 홀딩 일반주 어떤가요?,종목분석
유니슨 가망 없나요?,종목전망
진양화학 어제 5400에 들어갔는데 더 들고 있어도 될까요?,매매전략
비트컴퓨터 4640원 매수해서 홀딩 중인데 지금이라도 정리하는 게 나을까요? ,매매전략
한국정보인증 상승할 기미가 보이질 않는 것 같아요. 전망 부탁드려요.,종목전망
화신기계 분석 좀 부탁해요.,종목분석
코스닥 바닥이 어디일까요?,종목분석
SK텔레콤 지금 들어가는 게 좋을까요?,매매결정
삼성엔지니어링 2분기 실적이 좋게 나왔는데 매수 해도 될까요?,매매결정
db하이텍 조언 좀,종목분석
