tag,sentence
거래,3시30분 장후 매수는 못하는건가여? 하려면 어떻게 해야하는건지??
거래,매도하고 며칠 뒤에 현금이 들어올 수 있죠?
거래,매도할 때 세금을 내는 건가요 매수할 때 세금을 내는 건가요
거래,미국 주식을 사고팔면 세금을 안 내도 되나요?
거래,비상장 주식을 살 수 있는 방법이 뭘까요?
거래,시간외 거래는 어떻게 하는건가요? 장단점이 있나요?
거래,시간외 거래량을 알고 싶은데 무얼 봐야하죠?
거래,오늘 팔면 오늘 인출이 불가능한가요?
거래,장외 매매를 하려면 어떻게 해야합니까?
거래,장외주식 사고 싶어요
거래,해외 주식를 구매하려면 그 나라로 가야하나?
금융용어,ETF는 뭘 뜻하는 무슨 약자죠?
금융용어,"vi발동이 뭔지, 왜 걸리는지 궁금하네요"
금융용어,골든크로스라는 게 뭔가요?
금융용어,공매도가 감이 잘 안오는데 예시 들어줄 수 있어?
금융용어,다진다고 그러던데 주식시장에서 다진다라는 의미가 뭐야?
금융용어,대장주라는 게 정확하게 뭔지 설명해봐
금융용어,무상증자 유상증자 이런 글이 올라오는데 쉽고 알기쉽게 설명해주실분 계실까요 
금융용어,시간외 단일가가 뭐죠?
금융용어,인콘이 cb 발행했다고 하는데 cb 발행이 뭐예요??
금융용어,지지선이라는 게 뭘 뜻하죠?
금융용어,직장인매매가 뭐예요?
등락원인,Ibks제8호스펙 왜이렇게올랐어요오늘??
등락원인,LG생활건강 무슨일 있어? 오늘 하한가 찍었네
등락원인,SK 갑자기 떡상하네 뭐지?
등락원인,나노신소재 급락 이유가 있을까요??
등락원인,대북주 오늘 왜이러죠? 계속 떨어지는데..
등락원인,아모레 갑자기 치솟았던 이유가 뭔가요?
등락원인,유니셈 왜 자꾸 떨어지는거죠 도대체 알 수가 없네요
등락원인,제이스이 조금씩 빨간불이 올라오는데 뭔 일인지 아시는지요~^^
등락원인,코스닥 왜 떨어지는거지? 어제 샀는데…
등락원인,한국특수형강 요즘 왜이리 많이 오르는지요 외국인들도 계속 사모으고있고 관리종목인데?
등락원인,현대상선 대북주라서 이렇게 오른건가요?
매매 결정, 제가 파미셀 사고나서 존버하고있었는데 한번뚝떨어지니 올러가질않네요... 매도를 해야할까요
매매 결정,JYP 심상치 않은데.. 어때 JYP 주식 살까?
매매 결정,가지고 있는 제약 바이오주가 저번주에  엄청  내렸는데 담주는 올라갈수 있을까요? 아니면 지금 팔아야할까요?
매매 결정,급해요 지금 필룩스 계속 떨어지는ㄷㅔ 팔까요?
매매 결정,네이버 물려서 몇달째 이러고 있는데 지금이라도 매도하는게 나을까요?
매매 결정,더 떨어지기 전에 YG 손절해버리는 게 낫겠죠?
매매 결정,삼성전자에서 투자를 늘린다는데 ? 사도 될런지 모르겠네요?
매매 결정,아는 사람이 카카오 좋다고 그러네 카카오 매수하는 거 어떻게 생각해?
매매 결정,아모레 계속 떨어진다 지금이라도 매도해야겠지?
매매 결정,장난감회사인 손오공이 눈에 들어와서 여쭙습니다 손오공 지금 자리 괜찮을까요
매매 결정,포시에스 최근에 지지부진한데 곧 올라갈 것 같거든 지금 매수해볼까?
매매 결정,하이닉스 코스피 시총 2위인데 외인들도 매수하고 오늘이라도 올라탈까?
매매동향,개인 매매 추세와 외인 매매 추세가 일반적으로 비슷한가요?
매매동향,사모펀드는 코스피 많이 팔았나?
매매동향,연기금의 매매동향은 어때?
매매동향,외국인 매수세로 돌아섰어?
매매동향,외국인은 어떤 매매 추이를 보이나요?
매매동향,요새 개미들이 가장 많이 샀던 주식은 뭐야?
매매동향,이제 YG는 세력 다 빠져나간건가
매매동향,장전 상한가 잠시 눈에띄었고 장초반10분안에 vi발동 세력이 움직이는 건가요? 
매매동향,코스닥 한달간 매매동향 알려주세요
매매동향,코스닥에서 은행의 매매 추세는 어떤지
매매동향,코스피 코스닥 선물 매매동향 알 수 있을까요?
매매이유,삼성물산 기관들이 사는 이유가 궁금합니다.
매매이유,씨아이테크 뭐길래 기관에서 자꾸 매수하죠?
매매이유,에스엠 기관 외국인 다 팔고 있는데 악재가 있나요?
매매이유,오늘 갑자기 이렇게 주가가 떨어질줄이야 왜 기관이 그렇게 팔았을까요
매매이유,외국놈들 코스피 왜 던지는거야?
매매이유,외국인 기관 매수가 많이 들어오는데 이유가 있을까요?
매매이유,외국인이 매수했다는건 호재가 있는건가요? 아님 다른 이유가 있을까요?
매매이유,외인들이 자꾸 우원개발 사는 이유가 뭘까요?
매매이유,한진해운 외인들이 자꾸 매집하는 이유가 뭘까….
매매이유,한화생명 기관매수가 갑자기 많아졌는데 왜죠?
매매이유,현대차 매수세 왜 이렇게 강하죠?
매매전략,YG엔터 추매는 어떻게 생각하니? 그냥 손절이 답이야?
매매전략,다들 꼭지에서샀다면 월욜추매단가낮히겠어요? 아님 그냥꼭지금액존버?
매매전략,대북 관련 주  기대하고선...추매를 해야 하는지? 손절 하는게 맞는지...생각들이 어떠신지  궁금 합니다
매매전략,라이트론 물려있는데 계속 빠지기만 하고.. 이제라도 손절하는게 나을까요? 
매매전략,삼영엔텍 존버중인데 손절할까요? 아님 평단을 낮출까요?
매매전략,아 YG 손절해야할까 존버하고 더 버텨야할까
매매전략,아무것도 모르고 삼성바이오 고점에서 샀는데 어떻게 대응해야하나
매매전략,엘지전자 스탑로스 몇 %가 좋을까?
매매전략,오리온 현재 9.5% 손실인데 가져가야하는걸까요?
매매전략,우리은행 이대로 쭉 들고 있어도 괜찮겠지?
매매전략,하이트진로 28000원에 사서 존버 중이야 매도하는 게 답일까?
매매타이밍,LG화학 지금 매수할 타이밍 맞지?
매매타이밍,YG는 언제 손절하는 게 좋을까나
매매타이밍,딜리 어느정도에 매도해야할까요?
매매타이밍,삼성바이오로직스 언제 쯤 다 털고 나갈까
매매타이밍,수익률 5% 먹었는데 지금 매도타이밍인가요?
매매타이밍,수익률 얼마 보면 팔아야할까요?
매매타이밍,안철수테마주 다음주에 소량 매수 괜찮냐?
매매타이밍,엔케이물산 지금 들어가도 될까요?
매매타이밍,이랜드는 얼마에 팔아야 할가?
매매타이밍,이월드 언제 쯤 매도하는 게 좋다고 생각해?
매매타이밍,한국가스공사 매수후 매도단가좀 알려주세요 
매매평가,JYP 바닥 다지고 있길래 풀매수 때렸거든 어때
매매평가,꺼억 페이퍼코리아 전량 매도 했다. 이쯤해서 잘 먹었다고 생각해
매매평가,대아티아이 3280에 샀는데 너무 끝물에 들어간거 같아서 걱정되네요 여러분들이 보실때는 어떠신가요?
매매평가,바닥인거같아 매수했습니다 어때보이시나요?
매매평가,삼성전자 최고가 갱신했길래 풀매도 해버렸다 이 자리면 잘 판거겠지?
매매평가,시발 세종텔레콤 오를 기미 전혀 안 보여서 다 털었다.
매매평가,오늘 bgf 잘 나가길래 샀거든 잘 산거야?
매매평가,우리기술 이제야 1550에 들어왓는데 괜찮을까요?
매매평가,인콘주식이요 cb발행했다고 해서 13500원에샀는데 괜찮은건지요?
매매평가,현대비엔지스틸 평단 13900원입니다. 조언 부탁드려요
매매평가,호텔신라 심상치않길래 발 조금 담궜어 잘 샀어?
멘탈,내가 사면 왜 떨어지는거닝
멘탈,다 털렸어요ㅠㅠ 어떡하죠?
멘탈,다 파란불인데 어쩌죠??
멘탈,밤새 손이 바들바들 떨려서 한숨도 못잤어
멘탈,버티다 보면 괜찮아질까.. 진짜 살기 싫다 힘들어
멘탈,보통 오늘 같은 날은 다른 분들 멘탈 어떻게 잡으세요??
멘탈,아 시발 YG는 어디까지 떨어지는거야 도대체
멘탈,오늘 날아갈줄알고 샀는데   내맘같지가 않네요ㅜㅜ
멘탈,주식시장 진짜 좆같다 개미는 다 나가뒤지란거지?
멘탈,하.. 마이너스 50퍼센트네요 진짜 죽고싶어요
멘탈,한강 갈까
재료,JP모건에서 대유 매수 많이 한 듯하데 호재로 작용할까요?
재료,vi발동이 몇번이나 됬던데 긍정적인걸까요?    
재료,가지고 있는 종목이 전환사채권이 발행됐다고 하는데요~ 주가에 어떤 방향을 미치게 되는지... 궁금합니다 
재료,기업이 신규로 채권을 발행하면 호재로 작용합니까?
재료,방금 전에 조회 공시한다고 떴네요 이거 호재인가요 악재인가요?
재료,보통 인수 합병하면 주가는 상승하나요?
재료,보통 회사 합병시 합병 당한 회사는 주가가 어떻게 되나요?
재료,솔직히 무증이 좋은건지 알았는데 안좋은거 같네요. 가지고 있는거 매도해도 지금 손해인데 28일 만일 주가가 많이 떨어지면 떨어진 가격으로 받는건데 많이 손해 보는거 아닌가요? 
재료,인수합병 했다는 소식 들리는대요 이 뜻은 좋은거예요? 안좋은 거예요?
재료,일반적으로 무상증자를 받으면 주가가 하락하나요? 오르나요?
재료,자사주 매도라는 거 좋은건가?
종목 분석,SM C&C 흑자전환만 하면 괜찮을 것 같은데 어떻게 보세요?
종목 분석,국민카드 지금 얼마인지 알려줘
종목 분석,로지시스 요즘 관심가지고 보고있는 종목입니다. 다시 불기둥 솟아오를거라 예상하고 있는데 보시기에 어떤가요?
종목 분석,바디텍메드 혹시 보유 중이신분 계신가요? 혹시 종목 진단 해주실 분 계신가요?
종목 분석,삼익악기 지금 가격 얼마인지 말해줘
종목 분석,셀트리온 지난주 최저가가 얼마였더라?
종목 분석,신한은행 현재 가격이 얼마쯤 해?
종목 분석,에스오일 오늘 최고가 갱신했어?
종목 분석,오늘 외국인이 가장 많이 산 종목은 어떤거야?
종목 분석,와이오엠 어떻게 보시나요 ?
종목 분석,한온시스템 어때보이나요?
종목비교,7일 연속 순매수- 기관과 외국인중 어떤게 좋은가요?
종목비교,OB랑 하이트진로 중 뭘 사는 게 좋을까?
종목비교,단타로 치고 빠질 때는 테마주가 대장주보다 낫지요?
종목비교,대북주 바이오 가상화페 5G 현재어느시장을가야 연말에 크게수익을볼까요? 
종목비교,대북주랑 바이오주 중 뭐가 나을까
종목비교,수소차 관련 주 화진 하이셈  중에 뭐가 나을까요 
종목비교,아시아나랑 대한항공 중 하나 투자할까 하는데 뭐가 더 좋지?
종목비교,요즘 에어부산은 제주항공에 비해서 어때?
종목비교,"이스타항공, 에어부산, 제주항공 중에서 투자할 곳 추천해봐"
종목비교,장기적으로 봤을때 네이버를 살까요 카카오를 살까요
종목비교,퍼시픽 바이오주 VS 대한뉴팜 구제역 관련주
종목소개,4차산업 관련주 읊어봐
종목소개,미래 비전 있는 테마주 알려주세요
종목소개,바이오주는 어떤 종목으로 봐?
종목소개,비트코인 관련해서 좀 사려고 하는데 뭐뭐 있는지 알려주라
종목소개,수소차 관련 주 알려주세요
종목소개,엔터주 대장은?
종목소개,요즘 대북쪽으로 관심이 많은데 대북주 어떤게 있을까요?
종목소개,요즘 잘나가는 대북 대장주는 어디임?
종목소개,조국 사태 관련해서 유망한 주식 뭐 없을까?
종목소개,친구가 5g 관련주가 많이 올랐다는데 어떤게 있을까요?
종목소개,테마주 뭐뭐 있니
종목전망,ktb 투자증권 쌍바닥 다지고 상승 추세로 봐도 될까요?
종목전망,SK는 언제 쯤 다시 오를까..
종목전망,YG는 앞으로 어찌 될까요
종목전망,그래도 YG 한번 쯤 반등 오겠지?
종목전망,상상인 거래량 터졌는데 고점 돌파할까요?
종목전망,앞으로 문재인 테마주들 어떨 것 같아?
종목전망,에스모 단타치고 나오려다 오늘 실수로 매도 타이밍을 놓쳤네요  조만간 다시한번 타이밍이 올까요?
종목전망,원익 ips  매수햇는데 앞으로 어떻게 전망하시나요?? 
종목전망,이제 YG는 내리기만 하려나?
종목전망,폴루스 갑자기 정지되고  이래저래 갑자기 상황이 우째 되는건가유??
종목전망,향후 3개월 주식 시장 전망 어떨 것 같아? 요즘 경기가 안 좋은데
종목정보, 한창은 왜 거래가 안되는거죠?
